service	controller	annotation	path
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/booked-slots
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/{bookingRef}/events
booking-service	AdminBookingController	POST	/api/v1/bookings/admin/{bookingRef}/replay
booking-service	AdminBookingController	POST	/api/v1/bookings/admin/replay-all
booking-service	AdminBookingController	POST	/api/v1/bookings/admin/{bookingRef}/override-status
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/sagas/failed
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/sagas/compensating
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/venue-rooms
booking-service	AdminBookingController	POST	/api/v1/bookings/admin/venue-rooms
booking-service	AdminBookingController	PUT	/api/v1/bookings/admin/venue-rooms/{id}
booking-service	AdminBookingController	PATCH	/api/v1/bookings/admin/venue-rooms/{id}/toggle-active
booking-service	AdminBookingController	DELETE	/api/v1/bookings/admin/venue-rooms/{id}
booking-service	AdminBookingController	POST	/api/v1/bookings/admin/venue-rooms/{id}/approve
booking-service	AdminBookingController	POST	/api/v1/bookings/admin/venue-rooms/{id}/reject
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/venue-rooms/blocks
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/venue-rooms/{roomId}/blocks
booking-service	AdminBookingController	POST	/api/v1/bookings/admin/venue-rooms/{roomId}/blocks
booking-service	AdminBookingController	DELETE	/api/v1/bookings/admin/venue-rooms/blocks/{blockId}
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/pricing/surge-rules
booking-service	AdminBookingController	POST	/api/v1/bookings/admin/pricing/surge-rules
booking-service	AdminBookingController	PUT	/api/v1/bookings/admin/pricing/surge-rules/{id}
booking-service	AdminBookingController	PATCH	/api/v1/bookings/admin/pricing/surge-rules/{id}/toggle-active
booking-service	AdminBookingController	DELETE	/api/v1/bookings/admin/pricing/surge-rules/{id}
booking-service	AdminCurrencyController	GET	/api/v1/bookings/admin/currencies
booking-service	AdminCurrencyController	POST	/api/v1/bookings/admin/currencies/refresh
booking-service	AdminCurrencyController	POST	/api/v1/bookings/admin/currencies
booking-service	AdminCurrencyController	POST	/api/v1/bookings/admin/currencies/{code}/toggle
booking-service	AdminCurrencyController	DELETE	/api/v1/bookings/admin/currencies/{code}
booking-service	AdminNotificationController	GET	/api/v1/bookings/admin/notifications
booking-service	AdminNotificationController	GET	/api/v1/bookings/admin/notifications/unread-count
booking-service	AdminNotificationController	POST	/api/v1/bookings/admin/notifications/{id}/read
booking-service	AdminNotificationController	POST	/api/v1/bookings/admin/notifications/read-all
booking-service	AdminNotificationController	GET	/api/v1/bookings/admin/notifications/sent
