method	path	clients	sources
GET	/api/v1/bookings/venue-rooms/{}/reviews/summary	api	frontend\src\services\endpoints.js:170
GET	/api/v1/bookings/venue-rooms/available	api	frontend\src\services\endpoints.js:168
GET	/api/v1/bookings/waitlist/admin	api	frontend\src\services\endpoints.js:580
GET	/api/v1/bookings/waitlist/admin/count	api	frontend\src\services\endpoints.js:581
GET	/api/v1/bookings/waitlist/my	api	frontend\src\services\endpoints.js:154
GET	/api/v1/booking-transfers/by-token/{}	api	frontend\src\services\endpoints.js:137
GET	/api/v1/notifications/admin/templates	api	frontend\src\services\endpoints.js:255
GET	/api/v1/notifications/admin/whatsapp-templates	api	frontend\src\services\endpoints.js:260
GET	/api/v1/notifications/admin/whatsapp-templates/{}	api	frontend\src\services\endpoints.js:261
GET	/api/v1/notifications/booking/{}	api	frontend\src\services\endpoints.js:243
GET	/api/v1/notifications/my	api	frontend\src\services\endpoints.js:242
GET	/api/v1/notifications/preferences	api	frontend\src\services\endpoints.js:245
GET	/api/v1/notifications/push/public-key	api	frontend\src\services\endpoints.js:248
GET	/api/v1/payments/admin/approvals	api	frontend\src\services\endpoints.js:460
GET	/api/v1/payments/admin/approvals/{}	api	frontend\src\services\endpoints.js:461
GET	/api/v1/payments/admin/disputes	api	frontend\src\services\endpoints.js:655
GET	/api/v1/payments/admin/disputes/all	api	frontend\src\services\endpoints.js:657
GET	/api/v1/payments/admin/disputes/count	api	frontend\src\services\endpoints.js:659
GET	/api/v1/payments/admin/refunds/{}	api	frontend\src\services\endpoints.js:354
GET	/api/v1/payments/admin/refunds/failed	api	frontend\src\services\endpoints.js:468
GET	/api/v1/payments/admin/stats	api	frontend\src\services\endpoints.js:355
GET	/api/v1/payments/booking/{}	api	frontend\src\services\endpoints.js:303
GET	/api/v1/payments/my	api	frontend\src\services\endpoints.js:304
GET	/api/v1/payments/transaction/{}	api	frontend\src\services\endpoints.js:306
GET	/api/v1/site-content/public/{}	api	frontend\src\services\endpoints.js:311
GET	/api/v2/loyalty/admin/bindings/{}	v2	frontend\src\services\loyaltyV2.js:108
GET	/api/v2/loyalty/admin/bindings/{}/earn-rules	v2	frontend\src\services\loyaltyV2.js:117
GET	/api/v2/loyalty/admin/bindings/{}/redeem-rule	v2	frontend\src\services\loyaltyV2.js:123
GET	/api/v2/loyalty/admin/goodwill/{}/budget	v2	frontend\src\services\loyaltyV2.js:214
GET	/api/v2/loyalty/admin/status-match/pending	v2	frontend\src\services\loyaltyV2.js:132
GET	/api/v2/loyalty/me	v2	frontend\src\services\loyaltyV2.js:67
GET	/api/v2/loyalty/me/earn-quote	v2	frontend\src\services\loyaltyV2.js:85
GET	/api/v2/loyalty/me/ledger	v2	frontend\src\services\loyaltyV2.js:75
GET	/api/v2/loyalty/me/redeem-quote	v2	frontend\src\services\loyaltyV2.js:79
GET	/api/v2/loyalty/me/status-match	v2	frontend\src\services\loyaltyV2.js:91
