path	element_guard_chain	source	line
/admin/taxes	<SuperAdminRoute><AdminBingeRequired><AdminTaxes /></AdminBingeRequired></SuperAdminRoute>	frontend\src\App.jsx	271
/admin/currencies	<SuperAdminRoute scope="CURRENCIES"><AdminCurrencies /></SuperAdminRoute>	frontend\src\App.jsx	272
/admin/venue-timezones	<SuperAdminRoute><AdminVenueTimezones /></SuperAdminRoute>	frontend\src\App.jsx	274
/admin/account-page-editor	<SuperAdminRoute scope="ACCOUNT_CMS"><AdminAccountPageEditor /></SuperAdminRoute>	frontend\src\App.jsx	275
/admin/binges/:bingeId/account-page-editor	<AdminRoute><AdminAccountPageEditor /></AdminRoute>	frontend\src\App.jsx	276
/admin/notification-templates	<SuperAdminRoute scope="NOTIFICATIONS"><AdminNotificationTemplates /></SuperAdminRoute>	frontend\src\App.jsx	277
/admin/ops	<SuperAdminRoute scope="OPS"><AdminOps /></SuperAdminRoute>	frontend\src\App.jsx	278
/admin/reports	<AdminBingeRequired><AdminReports /></AdminBingeRequired>	frontend\src\App.jsx	279
/admin/book	<AdminBingeRequired><AdminBookingCreate /></AdminBingeRequired>	frontend\src\App.jsx	280
/admin/users-config	<AdminBingeRequired><AdminUsersConfig /></AdminBingeRequired>	frontend\src\App.jsx	281
/admin/users-config/:userId	<AdminBingeRequired><AdminUsersConfig /></AdminBingeRequired>	frontend\src\App.jsx	282
*	<NotFound />	frontend\src\App.jsx	284
